 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       1508398      172340648  [B (java.base@17.0.6)
   2:        266460       74656872  [I (java.base@17.0.6)
   3:       1499120       35978880  java.lang.String (java.base@17.0.6)
   4:        785014       25120448  com.intellij.openapi.vfs.newvfs.impl.VirtualFileImpl
   5:        159247       19136936  [Ljava.lang.Object; (java.base@17.0.6)
   6:        555507       17776224  java.util.HashMap$Node (java.base@17.0.6)
   7:        460975       14751200  com.intellij.concurrency.ConcurrentIntObjectHashMap$Node
   8:        224529       14369856  com.intellij.util.indexing.events.DeletedVirtualFileStub
   9:        318927       12757080  com.intellij.util.lang.ImmutableZipEntry
  10:         85566       10199704  java.lang.Class (java.base@17.0.6)
  11:        372751        8946024  com.intellij.util.containers.SimpleEntry
  12:        357368        8576832  com.intellij.openapi.vcs.LocalFilePath
  13:            58        7362400  [Lcom.intellij.concurrency.ConcurrentIntObjectHashMap$Node;
  14:          3522        6288432  [J (java.base@17.0.6)
  15:         29258        5674448  [Ljava.util.HashMap$Node; (java.base@17.0.6)
  16:        233616        5606784  com.intellij.util.indexing.events.VfsEventsMerger$ChangeInfo
  17:        126605        5064200  com.intellij.openapi.vfs.newvfs.impl.VirtualDirectoryImpl
  18:        144035        4609120  com.intellij.openapi.vfs.newvfs.impl.VfsData$DirectoryData
  19:           448        3834736  [Lcom.intellij.util.lang.ImmutableZipEntry;
  20:        118953        3806496  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.6)
  21:         72845        2913800  java.util.LinkedHashMap$Entry (java.base@17.0.6)
  22:          1646        2711552  [C (java.base@17.0.6)
  23:         60032        1921024  com.intellij.util.containers.IntObjectLRUMap$MapEntry
  24:          2185        1780528  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.6)
  25:         55709        1337016  java.util.ArrayList (java.base@17.0.6)
  26:         55031        1320744  com.google.common.collect.ImmutableMapEntry
  27:         37539        1201248  com.android.resources.base.BasicValueResourceItem
  28:         28823        1152920  com.android.ide.common.rendering.api.StyleItemResourceValueImpl
  29:         22845        1096560  java.lang.invoke.MemberName (java.base@17.0.6)
  30:         11140         980320  java.lang.reflect.Method (java.base@17.0.6)
  31:         28873         923936  java.util.Hashtable$Entry (java.base@17.0.6)
  32:         19123         917904  java.util.HashMap (java.base@17.0.6)
